trade_id,candidate_signal_i,candidate_entry_time,candidate_project_net_return,direction,holding_bars,control_rank,control_signal_i,control_signal_time,stratum_month,stratum_hk_6h,stratum_atr_quintile,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason,control_gross_return,control_project_net_return,control_pine_net_return
v10_volume_hypothesis|final_preholdout_2025_202602|105031|105032|short,105031,2025-01-01 17:30:00+00:00,-0.014664073675340282,short,27,0,107443,2025-01-26 20:15:00+00:00,2025-01,0,0,107444,107471,3341.01,3191.55,copied_horizon,0.04473497535176485,0.04273497535176485,0.04277971032711662
v10_volume_hypothesis|final_preholdout_2025_202602|105031|105032|short,105031,2025-01-01 17:30:00+00:00,-0.014664073675340282,short,27,1,105411,2025-01-05 16:15:00+00:00,2025-01,0,0,105412,105439,3634.47,3638.35,copied_horizon,-0.0010675559297503856,-0.0030675559297503856,-0.003068623485680136
v10_volume_hypothesis|final_preholdout_2025_202602|105031|105032|short,105031,2025-01-01 17:30:00+00:00,-0.014664073675340282,short,27,2,105033,2025-01-01 17:45:00+00:00,2025-01,0,0,105034,105059,3344.24,3385.7999999999997,stop,-0.012427337750879008,-0.014427337750879008,-0.014439765088629888
v10_volume_hypothesis|final_preholdout_2025_202602|105301|105302|long,105301,2025-01-04 13:00:00+00:00,-0.0010000000000001102,long,174,0,105100,2025-01-02 10:30:00+00:00,2025-01,3,1,105101,105275,3468.0,3601.86,copied_horizon,0.038598615916955126,0.036598615916955124,0.036560017301038174
v10_volume_hypothesis|final_preholdout_2025_202602|105301|105302|long,105301,2025-01-04 13:00:00+00:00,-0.0010000000000001102,long,174,1,106357,2025-01-15 12:45:00+00:00,2025-01,3,1,106358,106532,3202.61,3394.11,copied_horizon,0.059794979719666186,0.057794979719666184,0.05773518473994652
v10_volume_hypothesis|final_preholdout_2025_202602|105301|105302|long,105301,2025-01-04 13:00:00+00:00,-0.0010000000000001102,long,174,2,107791,2025-01-30 11:15:00+00:00,2025-01,3,1,107792,107856,3221.48,3224.7014799999997,stop,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099
v10_volume_hypothesis|final_preholdout_2025_202602|105504|105505|long,105504,2025-01-06 15:45:00+00:00,-0.0010000000000001102,long,4,0,106932,2025-01-21 12:30:00+00:00,2025-01,3,3,106933,106937,3308.2,3309.86,copied_horizon,0.0005017834471918725,-0.0014982165528081275,-0.0014987183362553196
v10_volume_hypothesis|final_preholdout_2025_202602|105504|105505|long,105504,2025-01-06 15:45:00+00:00,-0.0010000000000001102,long,4,1,107903,2025-01-31 15:15:00+00:00,2025-01,3,3,107904,107908,3392.78,3398.51,copied_horizon,0.001688880505072543,-0.000311119494927457,-0.0003128083754325296
v10_volume_hypothesis|final_preholdout_2025_202602|105504|105505|long,105504,2025-01-06 15:45:00+00:00,-0.0010000000000001102,long,4,2,106366,2025-01-15 15:00:00+00:00,2025-01,3,3,106367,106371,3335.11,3359.66,copied_horizon,0.007361076546200884,0.005361076546200884,0.005353715469654683
v10_volume_hypothesis|final_preholdout_2025_202602|105763|105764|short,105763,2025-01-09 08:30:00+00:00,-0.0009999999999999992,short,27,0,106322,2025-01-15 04:00:00+00:00,2025-01,2,2,106323,106350,3229.14,3201.75,copied_horizon,0.008482134562143417,0.006482134562143417,0.006490616696705561
