variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits
v9_two_sided,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9664614295632787,1.7102952243021816,39.79616799372436,16.638250217944673,14.95038591197211,33.5,0.8321384810863532,1.6893045897079273,24,18,1
v9_two_sided,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8603279624406746,1.762599844336993,21.83506503945354,16.71851143585299,15.080162696283361,82.0,1.1316964135240708,2.137486979166666,15,27,1
v9_two_sided,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.549017414552155,4.160123396397319,60.321152845902006,9.476749657471428,8.056911620344554,38.5,0.7085728433217361,1.4408510638297873,17,21,0
v9_two_sided,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.259705455541635,2.1827247827717957,30.522272456029786,12.192178930474462,10.16256226519201,47.0,0.636496012243711,1.5282016179215931,24,21,0
v9_long_only,2023H1,1.0,23,160.12138353673086,140.12138353673083,139.96126215319413,0.17391304347826086,2.664574465797443,2.5670081053107476,40.659873847831626,15.784510575861043,14.620398949852142,38.0,0.850651275343406,1.6893045897079273,23,0,1
v9_long_only,2023H2,1.0,15,194.76334205325745,174.76334205325742,174.56857871120422,0.2,4.132815036792328,3.6879065969744516,34.33818825404573,11.179764315514673,10.306233423338274,27.0,1.1355293977510044,2.1374869791666664,15,0,0
v9_long_only,2024H1,1.0,17,370.2385141333001,350.2385141333001,349.86827561916675,0.23529411764705882,6.080328208953777,7.9204380441447935,41.00960754432344,6.269917587309736,3.8914535917949022,37.0,0.6713042067589623,1.298101772441395,17,0,0
v9_long_only,2024H2,1.0,26,99.40423101407546,79.40423101407544,79.30482678306137,0.11538461538461539,1.7766995092011275,2.0442433076782214,11.093997948403178,13.356072161033028,11.811547770485687,38.0,0.7094912221327372,1.5282016179215931,26,0,0
v9_short_only,2023H1,1.0,22,2.3307307317566535,-17.669269268243365,-17.666938537511594,0.18181818181818182,1.164007366142992,0.8058607542364712,2.1908893452222244,11.037387105765617,8.769726874490026,49.5,0.7731353396057531,1.5522053872053871,0,22,0
v9_short_only,2023H2,1.0,29,-20.288113329203064,-40.288113329203064,-40.308401442532265,0.06896551724137931,0.30544567090848745,0.26957450793459276,-11.401453159868801,11.84480677138281,11.635353409042947,91.0,1.1069519646113917,1.9538948626045403,0,29,1
v9_short_only,2024H1,1.0,24,118.77668853413806,98.77668853413805,98.8954652226722,0.20833333333333334,2.2570712367399666,2.323437419234619,18.786704865755667,9.340616889824528,6.987090441385046,41.5,0.7702610809307039,1.4408510638297873,0,24,0
v9_short_only,2024H2,1.0,24,82.9671269616101,62.96712696161009,63.05009408857172,0.20833333333333334,2.43311994170088,1.7228592539728556,14.72121053864246,9.462098647084682,7.175805422433601,48.5,0.543940868230656,0.9496185978932076,0,24,0
